Time,Channel0,Channel1,Unit: s
7.2046296,1,1,
7.25292288,0,1,
7.25562576,0,0,
7.30292272,1,0,
7.30462208,1,1,
7.3529224,0,1,
7.35561824,0,0,
7.40292208,1,0,
7.40461472,1,1,
7.45292192,0,1,
7.45561088,0,0,
7.5029216,1,0,
7.5046072,1,1,
7.55292128,0,1,
7.55560336,0,0,
7.60292112,1,0,
7.60459968,1,1,
7.6529208,0,1,
7.65559584,0,0,
7.70292064,1,0,
7.70459216,1,1,
7.75292032,0,1,
7.75558832,0,0,
7.80292,1,0,
7.80458464,1,1,
7.85291984,0,1,
7.8555808,0,0,
7.90291952,1,0,
7.90457728,1,1,
7.9529192,0,1,
7.95557344,0,0,
8.00291904,1,0,
8.00456976,1,1,
8.05291872,0,1,
8.05556592,0,0,
8.1029184,1,0,
8.10456224,1,1,
8.15291824,0,1,
8.1555584,0,0,
8.20291792,1,0,
8.20455472,1,1,
8.25291776,0,1,
8.25555088,0,0,
8.30291744,1,0,
8.3045472,1,1,
8.35291712,0,1,
8.35554336,0,0,
8.40291696,1,0,
8.40453968,1,1,
8.45291664,0,1,
8.455536,0,0,
8.50291632,1,0,
8.50453232,1,1,
8.55291616,0,1,
8.55552848,0,0,
8.60291584,1,0,
8.6045248,1,1,
8.65291568,0,1,
8.65552096,0,0,
8.70291536,1,0,
8.70451728,1,1,
8.75291504,0,1,
8.75551344,0,0,
8.80291488,1,0,
8.80450976,1,1,
8.85291456,0,1,
8.85550592,0,0,
8.90291424,1,0,
8.90450224,1,1,
8.95291408,0,1,
8.95549856,0,0,
9.00291376,1,0,
9.00449488,1,1,
9.05291344,0,1,
9.05549104,0,0,
9.10291328,1,0,
9.10448736,1,1,
9.15291296,0,1,
9.15548352,0,0,
9.2029128,1,0,
9.20447984,1,1,
9.25291248,0,1,
9.255476,0,0,
9.30291216,1,0,
9.30447232,1,1,
9.352912,0,1,
9.35546864,0,0,
9.40291168,1,0,
9.4044648,1,1,
9.45291136,0,1,
9.45546112,0,0,
9.5029112,1,0,
9.50445744,1,1,
9.55291088,0,1,
9.5554536,0,0,
9.60291072,1,0,
9.60444992,1,1,
9.6529104,0,1,
9.65544608,0,0,
9.70291008,1,0,
9.7044424,1,1,
9.75290992,0,1,
9.75543856,0,0,
9.8029096,1,0,
9.80443488,1,1,
9.85290928,0,1,
9.85543104,0,0,
9.90290912,1,0,
9.90442736,1,1,
9.9529088,0,1,
9.95542368,0,0,
10.00290848,1,0,
10.00442,1,1,
10.05290832,0,1,
10.05541616,0,0,
10.102908,1,0,
10.10441248,1,1,
10.15290784,0,1,
10.15540864,0,0,
10.20290752,1,0,
10.20440496,1,1,
10.2529072,0,1,
10.25540112,0,0,
10.30290704,1,0,
10.30439744,1,1,
10.35290672,0,1,
10.3553936,0,0,
10.4029064,1,0,
10.40438992,1,1,
10.45290624,0,1,
10.45538608,0,0,
10.50290592,1,0,
10.50438256,1,1,
10.5529056,0,1,
10.55537872,0,0,
10.60290544,1,0,
10.60437504,1,1,
10.65290512,0,1,
10.6553712,0,0,
10.70290496,1,0,
10.70436752,1,1,
10.75290464,0,1,
10.75536368,0,0,
10.80290432,1,0,
