Time,Channel0,Channel2,Unit: s
17.66011901,0,1,
18.07793072,1,1,
18.22222634,1,0,
18.22224068,1,1,
18.22224195,1,0,
18.2222442,1,1,
18.22226977,1,0,
18.222285,1,1,
18.22229814,1,0,
18.22230511,1,1,
18.22230601,1,0,
18.22233453,1,1,
18.22233457,1,0,
18.22233627,1,1,
18.22233727,1,0,
18.22234349,1,1,
18.22234352,1,0,
18.22236127,1,1,
18.22236239,1,0,
18.2223821,1,1,
18.22238217,1,0,
18.22246346,1,1,
18.22246381,1,0,
18.22247335,1,1,
18.22247401,1,0,
18.22248687,1,1,
18.22249029,1,0,
18.22249375,1,1,
18.22249535,1,0,
18.22249823,1,1,
18.2224988,1,0,
18.22250282,1,1,
18.22251386,1,0,
18.22251538,1,1,
18.22252584,1,0,
18.2225263,1,1,
18.22253177,1,0,
18.22253262,1,1,
18.22254781,1,0,
18.22287945,1,1,
18.22287985,1,0,
18.22291285,1,1,
18.22291472,1,0,
18.22334473,1,1,
18.22334961,1,0,
18.22336726,1,1,
18.22336766,1,0,
18.2233763,1,1,
18.22337642,1,0,
18.22337826,1,1,
18.2233783,1,0,
18.22337838,1,1,
18.22338021,1,0,
18.35292236,1,1,
18.47667318,0,1,
18.86116967,1,1,
19.03604697,1,0,
19.03606175,1,1,
19.03609562,1,0,
19.03610026,1,1,
19.03610184,1,0,
19.03610521,1,1,
19.03611956,1,0,
19.03612431,1,1,
19.03612826,1,0,
19.03613591,1,1,
19.03613706,1,0,
19.03613908,1,1,
19.03614027,1,0,
19.03614123,1,1,
19.0361414,1,0,
19.03619457,1,1,
19.03619482,1,0,
19.0362033,1,1,
19.03620444,1,0,
19.03627886,1,1,
19.03628,1,0,
19.0362852,1,1,
19.03632386,1,0,
19.03632998,1,1,
19.03633021,1,0,
19.03639086,1,1,
19.03640181,1,0,
19.03640713,1,1,
19.03640997,1,0,
19.03641573,1,1,
19.03654246,1,0,
19.03654598,1,1,
19.0365464,1,0,
19.03654807,1,1,
19.03658497,1,0,
19.03658744,1,1,
