Time,Channel0,Channel2,Unit: s
12.19326736,0,1,
12.71612688,1,1,
12.98450265,1,0,
12.98450559,1,1,
12.98451166,1,0,
12.98451524,1,1,
12.98454731,1,0,
12.98455017,1,1,
12.98455067,1,0,
12.98456052,1,1,
12.98457773,1,0,
12.98458146,1,1,
12.98458333,1,0,
12.9845923,1,1,
12.98460222,1,0,
12.9846119,1,1,
12.9846125,1,0,
12.98461758,1,1,
12.98462382,1,0,
12.98463804,1,1,
12.98464871,1,0,
12.98466352,1,1,
12.98466446,1,0,
12.98466811,1,1,
12.98466941,1,0,
12.9846858,1,1,
12.98468723,1,0,
12.98470473,1,1,
12.984719,1,0,
12.98473067,1,1,
12.98474394,1,0,
12.98474955,1,1,
12.98475164,1,0,
12.98476172,1,1,
12.9847656,1,0,
12.98477982,1,1,
12.98478591,1,0,
12.98480394,1,1,
12.98480606,1,0,
12.98567747,1,1,
12.98567906,1,0,
12.98568614,1,1,
12.98568616,1,0,
12.98576481,1,1,
12.98576566,1,0,
12.98577973,1,1,
12.98578085,1,0,
13.10659274,1,1,
13.20979634,0,1,
13.71559449,1,1,
13.9603309,1,0,
13.9603343,1,1,
13.96036256,1,0,
13.96036616,1,1,
13.96037057,1,0,
13.96037658,1,1,
13.96039098,1,0,
13.9603974,1,1,
13.96040095,1,0,
13.96040449,1,1,
13.96041147,1,0,
13.96041546,1,1,
13.96041946,1,0,
13.96045428,1,1,
13.96047243,1,0,
13.96047457,1,1,
13.96048661,1,0,
13.96049235,1,1,
13.96049609,1,0,
13.96050082,1,1,
13.96050183,1,0,
13.96051726,1,1,
13.96052218,1,0,
13.96053696,1,1,
13.9605421,1,0,
13.96055898,1,1,
13.96055929,1,0,
13.96056473,1,1,
13.96057121,1,0,
13.96058193,1,1,
13.96059487,1,0,
13.96060114,1,1,
13.96061324,1,0,
13.96061606,1,1,
13.96064913,1,0,
13.96065453,1,1,
13.96065723,1,0,
13.9606634,1,1,
13.96066876,1,0,
13.96067938,1,1,
13.9607094,1,0,
13.96099805,1,1,
13.96099807,1,0,
13.96100166,1,1,
13.96100275,1,0,
14.06471453,1,1,
14.06471513,1,0,
14.06506554,1,1,
14.22648123,0,1,
14.6827704,1,1,
14.91887149,1,0,
14.91887574,1,1,
14.91887602,1,0,
14.91887795,1,1,
14.91887802,1,0,
14.91888572,1,1,
14.91891951,1,0,
14.91892438,1,1,
14.9189263,1,0,
14.91893003,1,1,
14.91894443,1,0,
14.91894978,1,1,
14.91895339,1,0,
14.91895943,1,1,
14.9189698,1,0,
14.91898004,1,1,
14.91898227,1,0,
14.91899177,1,1,
14.9189928,1,0,
14.91899698,1,1,
14.91905497,1,0,
14.91905898,1,1,
14.9190599,1,0,
14.91906425,1,1,
14.91907667,1,0,
14.91907974,1,1,
14.9190799,1,0,
14.91908491,1,1,
14.91911586,1,0,
14.91911959,1,1,
14.91912252,1,0,
14.91920381,1,1,
14.91920566,1,0,
14.91921496,1,1,
14.91933961,1,0,
14.91971427,1,1,
14.91971538,1,0,
14.91971793,1,1,
14.91973593,1,0,
14.91974015,1,1,
14.91974033,1,0,
14.9197425,1,1,
14.91974418,1,0,
14.9197489,1,1,
14.91976274,1,0,
14.91976512,1,1,
14.91976514,1,0,
14.91976801,1,1,
14.91976855,1,0,
14.91979464,1,1,
14.91979486,1,0,
14.91979972,1,1,
14.9198008,1,0,
14.91981634,1,1,
14.91981822,1,0,
14.91982284,1,1,
14.91982376,1,0,
14.91986071,1,1,
14.91986349,1,0,
14.91989475,1,1,
14.91989506,1,0,
15.03927947,1,1,
15.1431519,0,1,
15.5993925,1,1,
15.83736,1,0,
15.83736315,1,1,
15.83736997,1,0,
15.8373722,1,1,
15.83739624,1,0,
15.83739926,1,1,
15.83740868,1,0,
15.83741218,1,1,
15.83741594,1,0,
15.83752786,1,1,
15.83752814,1,0,
15.83753174,1,1,
15.83761598,1,0,
15.83762068,1,1,
15.83775852,1,0,
15.83776242,1,1,
15.83777172,1,0,
15.97127233,1,1,
16.05983607,0,1,
16.51597945,1,1,
16.71343567,1,0,
16.71343945,1,1,
16.7134423,1,0,
16.71344955,1,1,
16.71349541,1,0,
16.71350078,1,1,
16.71350228,1,0,
16.71350721,1,1,
16.71350803,1,0,
16.71350811,1,1,
16.71352401,1,0,
16.71352712,1,1,
16.71353389,1,0,
16.71353721,1,1,
16.71355262,1,0,
16.713556,1,1,
16.71355809,1,0,
16.71356105,1,1,
16.7135655,1,0,
16.7135688,1,1,
16.71356938,1,0,
16.71359022,1,1,
16.71359346,1,0,
16.71359584,1,1,
16.71359586,1,0,
16.7137737,1,1,
16.71396782,1,0,
16.71436274,1,1,
16.71436773,1,0,
16.7143757,1,1,
16.71437622,1,0,
16.71439072,1,1,
16.71439087,1,0,
16.83925634,1,1,
16.97654785,0,1,
17.44939728,1,1,
17.64142004,1,0,
17.64142534,1,1,
17.64142646,1,0,
17.6414337,1,1,
17.64146262,1,0,
17.64146711,1,1,
17.64146926,1,0,
17.64147738,1,1,
17.64149326,1,0,
17.64149774,1,1,
17.64150087,1,0,
17.64150412,1,1,
17.64150444,1,0,
17.64150796,1,1,
17.64151864,1,0,
17.64152259,1,1,
17.64152454,1,0,
17.64152794,1,1,
17.64153107,1,0,
17.64153274,1,1,
17.64154938,1,0,
17.64155295,1,1,
17.64160813,1,0,
17.6416177,1,1,
17.64162845,1,0,
17.6416308,1,1,
17.64166106,1,0,
17.64166492,1,1,
17.64167166,1,0,
17.64167627,1,1,
17.64167777,1,0,
17.64167934,1,1,
17.64168638,1,0,
17.64168798,1,1,
17.64168985,1,0,
17.64169204,1,1,
17.64169351,1,0,
17.64169963,1,1,
17.64170416,1,0,
17.6417215,1,1,
17.64172159,1,0,
17.64172797,1,1,
17.64172874,1,0,
17.64178446,1,1,
17.64178939,1,0,
17.64180076,1,1,
17.64182654,1,0,
17.64183214,1,1,
17.64183599,1,0,
17.6418401,1,1,
17.64184441,1,0,
17.64184988,1,1,
17.64185655,1,0,
17.64206588,1,1,
17.64206789,1,0,
17.64207034,1,1,
17.64207111,1,0,
17.77844395,1,1,
17.85985385,0,1,
18.28273222,1,1,
18.48378534,1,0,
18.48378995,1,1,
18.48379343,1,0,
18.48379924,1,1,
18.48385362,1,0,
18.48385924,1,1,
18.4838657,1,0,
18.48386943,1,1,
18.48387687,1,0,
18.48388083,1,1,
18.48388432,1,0,
18.48388864,1,1,
18.4838933,1,0,
18.48389639,1,1,
18.48390293,1,0,
18.48390567,1,1,
18.48392874,1,0,
18.48393886,1,1,
18.48393954,1,0,
18.48394976,1,1,
18.48396953,1,0,
18.48411592,1,1,
18.48416496,1,0,
18.48416725,1,1,
18.48417542,1,0,
18.48417916,1,1,
18.48418233,1,0,
18.48418498,1,1,
18.48418592,1,0,
18.4842354,1,1,
18.48423707,1,0,
18.48424304,1,1,
18.48425504,1,0,
18.48427646,1,1,
18.48427951,1,0,
18.48428886,1,1,
18.4842911,1,0,
18.48429734,1,1,
18.48429746,1,0,
18.48429927,1,1,
18.48429937,1,0,
18.48430349,1,1,
18.4843063,1,0,
18.48431926,1,1,
18.48432014,1,0,
18.48432252,1,1,
18.48432295,1,0,
18.48434102,1,1,
18.4843413,1,0,
18.48434457,1,1,
18.48434469,1,0,
18.48435568,1,1,
18.48435671,1,0,
18.4843639,1,1,
18.48437084,1,0,
18.48437537,1,1,
18.4843757,1,0,
18.48437857,1,1,
18.48437917,1,0,
18.48438119,1,1,
18.48439624,1,0,
18.48440166,1,1,
18.48440215,1,0,
18.48440457,1,1,
18.48440517,1,0,
18.48441492,1,1,
18.48441559,1,0,
18.4845315,1,1,
18.48453388,1,0,
18.48453658,1,1,
18.4845383,1,0,
18.48473651,1,1,
18.48473867,1,0,
18.48474947,1,1,
18.4847495,1,0,
18.48488126,1,1,
18.48488506,1,0,
18.4849059,1,1,
18.48490706,1,0,
18.48491098,1,1,
18.48491109,1,0,
18.48491358,1,1,
18.48491572,1,0,
18.4849329,1,1,
18.48493291,1,0,
18.48505939,1,1,
18.48505958,1,0,
18.48505962,1,1,
18.48505967,1,0,
18.62436798,1,1,
18.6931481,0,1,
19.13271356,1,1,
19.32538597,1,0,
19.32538983,1,1,
19.32539036,1,0,
19.32539482,1,1,
19.32541989,1,0,
19.32542263,1,1,
19.32542927,1,0,
19.32543267,1,1,
19.32543661,1,0,
19.32543977,1,1,
19.32552266,1,0,
19.3255254,1,1,
19.32554126,1,0,
19.32554672,1,1,
19.32556372,1,0,
19.32557328,1,1,
19.3255737,1,0,
19.32558422,1,1,
19.32558767,1,0,
19.3255955,1,1,
19.32559872,1,0,
19.32560195,1,1,
19.32560213,1,0,
19.45600595,1,1,
19.45603986,1,0,
19.45634877,1,1,
19.54313064,0,1,
19.9660339,1,1,
20.18404382,1,0,
20.18404964,1,1,
20.1840613,1,0,
20.18406862,1,1,
20.18408652,1,0,
20.18409028,1,1,
20.18410654,1,0,
20.18410912,1,1,
20.18411184,1,0,
20.18411531,1,1,
20.18411714,1,0,
20.18412362,1,1,
20.18412449,1,0,
20.18413446,1,1,
20.18413674,1,0,
20.18414482,1,1,
20.18414633,1,0,
20.18416298,1,1,
20.18416592,1,0,
20.18425242,1,1,
20.1842525,1,0,
20.18522622,1,1,
20.18522654,1,0,
20.1852409,1,1,
20.18524108,1,0,
20.18524127,1,1,
20.18524142,1,0,
